Symbol	SRS1	SRS2	deStatus
CCR7	7.73	9.24	Yes
CCT3	7.25	7.88	Yes
CCT4	3.6	4.28	Yes
CD160	3.29	5.13	Yes
CD163	8.4	6.94	Yes
CD163	10.79	9.42	Yes
CD163	10.68	9.37	Yes
CD163L1	4.4	3.51	Yes
CD177	9.28	5.75	Yes
CD177	9.86	6.7	Yes
CD19	5.7	6.93	Yes
CD2	7.97	9.31	Yes
CD244	3.55	4.84	Yes
CD247	8.76	10.37	Yes
CD247	8.8	10.41	Yes
CD27	5.61	7.6	Yes
CD28	4.73	5.41	Yes
CD2AP	3.9	4.48	Yes
CD300LB	5.05	6.41	Yes
CD300LF	10.12	9.41	Yes
CD320	3.3	4.76	Yes
CD33	8.05	8.93	Yes
CD3D	8.06	9.83	Yes
CD3D	8.26	9.97	Yes
CD3E	4.61	6.5	Yes
CD3G	5.81	7.3	Yes
CD4	4.03	5.92	Yes
CD40LG	3.13	4.25	Yes
CD44	13.11	12.48	Yes
CD44	10.28	9.29	Yes
CD47	4.31	4.98	Yes
CD5	3.61	5.74	Yes
CD52	10.56	11.61	Yes
CD55	10.51	9.63	Yes
CD58	10.2	9.62	Yes
CD58	10.02	9.34	Yes
CD59	6.8	6.02	Yes
CD59	5.25	4.64	Yes
CD6	6.84	8.84	Yes
CD63	11.59	10.76	Yes
CD69	6.84	8.12	Yes
CD69	4.45	5.2	Yes
CD7	7.26	8.37	Yes
CD72	4.22	5.03	Yes
CD74	9.76	10.89	Yes
CD74	10.81	11.72	Yes
CD74	5.54	6.63	Yes
CD79A	7.87	8.74	Yes
CD79A	3.9	4.8	Yes
CD79B	8.13	9.17	Yes
CD79B	6.15	7.16	Yes
CD79B	5.97	6.79	Yes
CD81	10.21	11.09	Yes
CD82	10.51	9.52	Yes
CD82	8.7	7.68	Yes
CD83	3.02	4.22	Yes
CD83	5.74	6.32	Yes
CD86	7.75	8.94	Yes
CD86	6.1	7.45	Yes
CD8A	6.89	8.87	Yes
CD8A	7.34	8.94	Yes
CD8A	3.66	4.86	Yes
CD8B	2.78	3.42	Yes
CD96	6.51	8.25	Yes
CD96	5.65	7.38	Yes
CD99	8.57	9.32	Yes
CD99L2	9.28	8.61	Yes
CD99L2	7.74	7.13	Yes
CDAN1	4.54	5.79	Yes
CDC123	9.57	8.94	Yes
CDC14A	4.47	5.44	Yes
CDC14B	6.2	7.03	Yes
CDC14B	3.8	4.78	Yes
CDC23	6.54	7.18	Yes
CDC25B	7.57	8.91	Yes
CDC42	9.21	8.39	Yes
CDC42BPB	3.3	3.95	Yes
CDC42EP3	7.74	6.78	Yes
CDC7	5.21	5.84	Yes
CDCA4	3.67	4.58	Yes
CDH23	5.93	5.26	Yes
CDK10	7.12	8.11	Yes
CDK10	4.21	5	Yes
CDK5RAP1	6.38	7.23	Yes
CDK5RAP2	10.56	9.1	Yes
CDK5RAP2	10.95	9.83	Yes
CDK6	6.34	7.43	Yes
CDKN2C	6.31	5.49	Yes
CDKN2D	6.96	6.11	Yes
CDRT4	3.53	4.45	Yes
CEACAM1	9.48	7.87	Yes
CEACAM1	10.6	9.35	Yes
CEACAM1	11.75	10.6	Yes
CEACAM4	7.4	6.46	Yes
CECR1	9.46	10.77	Yes
CECR5	7.11	7.98	Yes
CECR5	3.37	3.97	Yes
CECR6	6.73	7.45	Yes
CEL	5.76	4.94	Yes
CELSR3	2.65	3.46	Yes
CENPB	8.3	9.04	Yes
CENPM	4.17	4.79	Yes
CENPT	6.69	7.32	Yes
CENPV	4.3	4.94	Yes
CENTG3	5.54	6.42	Yes
CEP55	5.46	4.78	Yes
CEP78	5.04	6.07	Yes
CEP78	4.51	5.28	Yes
CFD	10.84	11.64	Yes
CHCHD10	7.95	8.79	Yes
CHD1L	4.92	5.84	Yes
CHI3L1	6.38	7.51	Yes
CHI3L2	3.2	3.82	Yes
CHMP2B	8.63	8.04	Yes
CHMP5	9.8	9.22	Yes
CHMP5	9.93	9.23	Yes
CHN2	4.97	6.5	Yes
CHST12	5.98	6.82	Yes
CHST14	3.75	4.34	Yes
CHST7	8.06	8.79	Yes
CINP	5.16	4.57	Yes
CIRH1A	5.83	6.94	Yes
CISD2	5.75	6.51	Yes
CKAP4	12.38	11.41	Yes
CKAP5	7.23	7.92	Yes
CLC	10.05	10.88	Yes
CLCF1	3.42	4.22	Yes
CLCN6	5.6	6.24	Yes
CLDN23	3.05	3.78	Yes
CLDN5	5.94	6.78	Yes
CLEC2D	10.61	11.43	Yes
CLEC2D	4.3	5.12	Yes
CLEC2D	7.73	8.54	Yes
CLEC4D	10.24	8.76	Yes
CLEC4E	8.47	7.66	Yes
CLEC5A	7.6	6.51	Yes
CLECL1	4.14	5.37	Yes
CLIC3	3.95	5.63	Yes
CLIP4	5.08	5.97	Yes
CLNS1A	8.3	9.27	Yes
CLSTN1	7.58	8.77	Yes
CLYBL	3.36	4.78	Yes
CMAH	7.09	6.42	Yes
CMAH	6.73	6.15	Yes
CMTM4	7.11	6.38	Yes
CMTM4	5.78	5.16	Yes
CMTM8	5.75	6.67	Yes
CNIH4	11.09	10.34	Yes
CNN2	8.25	7.36	Yes
CNNM3	7.2	7.8	Yes
COBLL1	5.6	6.39	Yes
COG2	6.55	7.27	Yes
COL17A1	8.57	7.61	Yes
COL17A1	5.88	4.95	Yes
COL4A3BP	10.68	10.03	Yes
COLQ	4.71	5.32	Yes
CORO1B	7.59	8.39	Yes
CORO1B	4.14	5.16	Yes
CORO2A	5.93	5.28	Yes
CORO6	5.06	4.36	Yes
COX10	5.42	6.61	Yes
CPA3	4.66	5.52	Yes
CPEB4	8.41	7.79	Yes
CPNE8	5.84	6.69	Yes
CPOX	5.37	6.11	Yes
CPVL	8.74	10.03	Yes
CPVL	9.48	10.76	Yes
CR1	9.65	8.4	Yes
CR1	9.57	8.31	Yes
CR1	7.71	6.24	Yes
CRADD	8.54	7.91	Yes
CREBZF	5.44	6.1	Yes
CRIP1	9.4	10.63	Yes
CRIP2	2.84	4.03	Yes
CROT	3.35	3.97	Yes
CRTAP	4.57	5.2	Yes
CRTAP	6.38	7.2	Yes
CRTC3	7.79	8.43	Yes
CRY1	3.82	4.85	Yes
CRYGS	3.65	4.59	Yes
CRYL1	5.13	5.98	Yes
CRYZ	5.76	6.64	Yes
CSDA	11.32	11.96	Yes
CSE1L	7.82	8.58	Yes
CSE1L	7.58	8.24	Yes
CSF1R	9.09	10.23	Yes
CSF2RA	10.31	9.68	Yes
CSF2RA	10.31	9.7	Yes
CSF3R	11.15	10.4	Yes
CSGALNACT1	7.61	6.92	Yes
CSGALNACT2	8.63	7.38	Yes
CSNK1D	9.05	8.37	Yes
CSNK1E	3.88	4.57	Yes
CSRP2BP	5.51	6.61	Yes
CST3	11.86	12.53	Yes
CST7	12.65	11.39	Yes
CTDP1	8.11	7.44	Yes
CTDP1	8.02	7.4	Yes
CTGLF3	7.97	9.1	Yes
CTH	5.44	4.84	Yes
CTLA4	4.43	5.57	Yes
CTNNB1	8.2	7.62	Yes
CTNNBIP1	4.67	5.49	Yes
CTPS	4.03	5.09	Yes
CTPS2	4.44	5.71	Yes
CTRL	4.97	5.85	Yes
CTSC	10.93	10.16	Yes
CTSC	10.59	9.85	Yes
CTSC	9.33	8.62	Yes
CTSD	10.03	9.38	Yes
CTSF	3.2	3.94	Yes
CTSG	7.92	8.77	Yes
CTSL1	8.31	7.65	Yes
CTSL1	7.95	7.34	Yes
CTSW	5.74	6.99	Yes
CTTN	6.95	7.56	Yes
CUTA	9.1	9.75	Yes
CUTA	7.7	8.3	Yes
CUTC	9.13	8.55	Yes
CX3CR1	9.16	10.34	Yes
CX3CR1	6.49	7.3	Yes
